리뷰자,type1,type2,type3,type4,랭킹
elpnWG81WUExdjcraCtMZ2hZOEJ6QT09,건성,웜톤,모공,미백,0
YkxqaGpRTlBYYnErd0s3bVdVdFZrUT09,민감성,-,,,0
YXlSbUJCeG81VXkzR00wMGIveHJwUT09,지성,웜톤,블랙헤드,,0
RExOMm5tdC9OdE1Bc3IvMlUzZW9GQT09,-,-,,,0
YktlU0QyekduamMwanRybVpmaTcwUT09,복합성,웜톤,모공,미백,0
Nk9oNllwTVMyMDQwclV1c291WUJOUT09,복합성,쿨톤,다크서클,모공,760
UktobHgzenc5OFIySm5pcTRqOEdWdz09,중성,쿨톤,모공,민감성,387
SytuTTlHd0swOG1weS9oWGw4WWIrdz09,지성,여름쿨톤,모공,미백,936
WEtFOWd4VTZDdUk4NHpHWnFkMHRtdz09,지성,웜톤,각질,모공,172
TGVCdzlrVTRKZEl4Qm9tOGVZRUVKZz09,-,-,,,20
TjhKdlFYaDQvOHdtUUZ6TnU5YzUzZz09,복합성,쿨톤,민감성,트러블,982
bkZCMU11WnRVcEpxajNFREYyZnNRZz09,건성,가을웜톤,모공,잡티,275
SDk4c2hmcHRodUZtVzZlVjBZMEhnQT09,복합성,가을웜톤,모공,미백,0
eEJSaU1mcnpvQ1FYT2QrQWR0ZW9mdz09,복합성,웜톤,다크서클,모공,0
ZVVKWitMVDNpMzFCK0tSNnY5RjduUT09,-,-,,,0
WDh0VXM2bURWaU9PNWc5Wk9IMFdzQT09,건성,봄웜톤,잡티,,1338
NG9NdHRaWjhvY0loejJKZVkxcnRDUT09,복합성,웜톤,각질,모공,0
WldQZTVGVVVMQUphYVVqNFJzblhpdz09,-,-,,,0
ZExXdXhCWVh6TmVGYXdISDYxeE11QT09,건성,쿨톤,모공,블랙헤드,1737
UGVwL25yS1NtMXordXZZRUtadHRWZz09,-,-,,,0
aGsvK0R1RjdOTms5K3lBakFLanZKQT09,건성,여름쿨톤,민감성,트러블,156
ajN2ejVUZ3pkVWZsb3I2ODU0cFJFQT09,건성,여름쿨톤,각질,다크서클,0
T012Q01WcWNZbGVZMWh4S3FaT3ZQdz09,민감성,여름쿨톤,민감성,아토피,0
